SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
SFO,San Francisco International Airport,San Francisco,CA,USA,37.61900,-122.37484
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.97960,-87.90446
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.03720
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.59750
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.72940,-92.22425
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438
